utterances,intent
Tell me something about yourself,about_me
Tell me something about you ?,about_me
Tell me about yourself ?,about_me
Who are you ?,about_me
What's your name ?,about_me
Are you real ?,about_me
Are you a robot ?,about_me
When were you born ?,about_my_age
Can you tell me your age ?,about_my_age
What's your age ?,about_my_age
What is your age ?,about_my_age
How old are you ?,about_my_age
turn on,appliance_action
turn on the *,appliance_action
turn it on,appliance_action
Switch it on,appliance_action
Switch on the light,appliance_action
can you please switch on the fan,appliance_action
please turn on the TV,appliance_action
It is so dark in the room,appliance_action
Nothing is visible in the kitchen,appliance_action
Nothing is visible in the hall,appliance_action
There's no light in the bedroom,appliance_action
tell me the date and time now,date_time
What's the day today ?,date_time
Is it Moday today ?,date_time
Is it Tuesday or Wednesday today ?,date_time
Is it already 5pm ?,date_time
is it 2 pm ?,date_time
what's the day tomorrow ?,date_time
what's the date tomorrow ?,date_time
What is the time now ?,date_time
What's the time ?,date_time
Can you tell me the time please ?,date_time
What is the date today ?,date_time
What's the date today ?,date_time
Please tell me the date and time ?,date_time
Good. bye.,General_Ending
Time to go,General_Ending
That's everything,General_Ending
That is all,General_Ending
Thank you for your time,General_Ending
"Thanks very much, bye!",General_Ending
"Thanks, bye!",General_Ending
Stop talking to me,General_Ending
Stop doing this,General_Ending
Shut up,General_Ending
See you later,General_Ending
Ok goodbye,General_Ending
I want to quit,General_Ending
It was nice chatting with you,General_Ending
I'm leaving now,General_Ending
Im good thank you,General_Ending
Im done,General_Ending
I'm done,General_Ending
I have got to go,General_Ending
I d like to stop doing this,General_Ending
I am out of here,General_Ending
I am leaving,General_Ending
Hey bot go away,General_Ending
Have a nice day?,General_Ending
Go off,General_Ending
Goodbye,General_Ending
Going now,General_Ending
Go away,General_Ending
Get lost,General_Ending
"Finished now, good bye",General_Ending
End trial,General_Ending
Ending this session,General_Ending
Cya later,General_Ending
Catch you later,General_Ending
Bye now,General_Ending
Bye bye,General_Ending
How are things going?,General_Greetings
Good day,General_Greetings
Good evening,General_Greetings
Good morning,General_Greetings
Good to see you,General_Greetings
Greetings,General_Greetings
Have you been well?,General_Greetings
Hello Agent,General_Greetings
Hello,General_Greetings
Hello I am looking for some help here,General_Greetings
Hey how are you doing,General_Greetings
Hey there all,General_Greetings
Hey there,General_Greetings
Hey twin,General_Greetings
Hey you,General_Greetings
Hi advisor,General_Greetings
Hi there,General_Greetings
How are you today?,General_Greetings
How have you been?,General_Greetings
How is it going?,General_Greetings
How r u?,General_Greetings
Looking good eve,General_Greetings
Ok take me back,General_Greetings
What's new?,General_Greetings
What's up?,General_Greetings
Who is this?,General_Greetings
You there,General_Greetings
Are you real?,General_Human_or_Bot
Are you a human or a bot?,General_Human_or_Bot
Am I talking to Watson?,General_Human_or_Bot
Am I talking to a person or am I talking to an AI?,General_Human_or_Bot
Am I chatting with a human?,General_Human_or_Bot
Am I talking to a Bot?,General_Human_or_Bot
Are you even real?,General_Human_or_Bot
Are you human?,General_Human_or_Bot
"Tell me, are you a human or no?",General_Human_or_Bot
Is this a computer?,General_Human_or_Bot
How can you prove you are a human?,General_Human_or_Bot
Are you a robot?,General_Human_or_Bot
Will my conversation remain secured?,General_Security_Assurance
Why would I trust this chat?,General_Security_Assurance
What safety measures are used to ensure that chat is secure?,General_Security_Assurance
What makes this chat trustworthy?,General_Security_Assurance
What guards do you have in place to protect your customer's data?,General_Security_Assurance
Secure conversation?,General_Security_Assurance
Protection hacks?,General_Security_Assurance
Precautions hackers?,General_Security_Assurance
Is this conversation secure?,General_Security_Assurance
Is this a trusted chat site?,General_Security_Assurance
Is this an official chat?,General_Security_Assurance
Is there a reason to distrust this chat?,General_Security_Assurance
Is my payment information secure?,General_Security_Assurance
Is my card info secure?,General_Security_Assurance
In what way can I tell if my plastic is safe?,General_Security_Assurance
